rank,feature_index,feature,rfe_ranking
1,1,R410_std,1
2,2,R410_p25,1
3,3,R410_p75,1
4,5,R460_std,1
5,6,R460_p25,1
6,9,R670_std,1
7,13,R700_std,1
8,15,R700_p75,1
9,16,R800_mean,1
10,17,R800_std,1
11,18,R800_p25,1
12,19,R800_p75,1
13,21,FRI_std,1
14,22,FRI_p25,1
15,25,NDRE_std,1
16,27,NDRE_p75,1
17,29,NBI_std,1
18,31,NBI_p75,1
19,33,logR460_R410_std,1
20,36,R670_R460_mean,1
21,37,R670_R460_std,1
22,38,R670_R460_p25,1
23,39,R670_R460_p75,1
24,40,R800_R460_mean,1
25,41,R800_R460_std,1
26,43,R800_R460_p75,1
27,47,FRI_x_NDRE_p75,1
28,53,NDVI_std,1
29,57,GNDVI_std,1
30,60,ARI_mean,1
31,61,ARI_std,1
32,62,ARI_p25,1
33,64,RVSI_mean,1
34,65,RVSI_std,1
35,67,RVSI_p75,1
36,69,ZTM_std,1
37,71,ZTM_p75,1
38,74,CRI_p25,1
39,76,PRI_mean,1
40,78,PRI_p25,1
41,79,PRI_p75,1
42,80,mARI_mean,1
43,82,mARI_p25,1
44,83,mARI_p75,1
45,85,SIPI_std,1
46,87,SIPI_p75,1
47,88,WBI_mean,1
48,90,WBI_p25,1
49,92,REP_mean,1
50,93,REP_std,1
51,95,REP_p75,1
52,96,BES_mean,1
53,98,BES_p25,1
54,146,snv_R519,1
55,178,snv_R613,1
56,179,snv_R616,1
57,180,snv_R619,1
58,181,snv_R622,1
59,182,snv_R625,1
60,183,snv_R628,1
61,184,snv_R631,1
62,185,snv_R634,1
63,186,snv_R637,1
64,187,snv_R640,1
65,201,snv_R682,1
66,202,snv_R685,1
67,204,snv_R691,1
68,205,snv_R694,1
69,206,snv_R697,1
70,208,snv_R703,1
71,210,snv_R709,1
72,212,snv_R715,1
73,213,snv_R718,1
74,214,snv_R721,1
75,215,snv_R724,1
76,216,snv_R727,1
77,217,snv_R730,1
78,218,snv_R733,1
79,240,snv_R799,1
80,241,snv_R802,1
81,245,snv_R814,1
82,246,snv_R817,1
83,247,snv_R820,1
84,248,snv_R823,1
85,249,snv_R826,1
86,251,snv_R832,1
87,259,snv_R856,1
88,290,snv_R951,1
89,293,snv_R960,1
90,294,snv_R963,1
91,296,snv_R970,1
92,297,snv_R973,1
93,298,snv_R976,1
94,299,snv_R979,1
95,300,snv_R982,1
96,301,snv_R985,1
97,302,snv_R988,1
98,303,snv_R991,1
99,306,snv_R1000,1
100,308,d1snv_R397,1
101,312,d1snv_R409,1
102,314,d1snv_R415,1
103,315,d1snv_R418,1
104,316,d1snv_R420,1
105,317,d1snv_R423,1
106,318,d1snv_R426,1
107,319,d1snv_R429,1
108,361,d1snv_R551,1
109,362,d1snv_R554,1
110,363,d1snv_R557,1
111,364,d1snv_R560,1
112,365,d1snv_R563,1
113,366,d1snv_R566,1
114,367,d1snv_R569,1
115,368,d1snv_R572,1
116,370,d1snv_R578,1
117,385,d1snv_R622,1
118,402,d1snv_R673,1
119,403,d1snv_R676,1
120,405,d1snv_R682,1
121,409,d1snv_R694,1
122,410,d1snv_R697,1
123,411,d1snv_R700,1
124,412,d1snv_R703,1
125,413,d1snv_R706,1
126,414,d1snv_R709,1
127,415,d1snv_R712,1
128,416,d1snv_R715,1
129,417,d1snv_R718,1
130,418,d1snv_R721,1
131,420,d1snv_R727,1
132,422,d1snv_R733,1
133,423,d1snv_R736,1
134,424,d1snv_R739,1
135,425,d1snv_R742,1
136,427,d1snv_R748,1
137,429,d1snv_R754,1
138,459,d1snv_R844,1
139,460,d1snv_R847,1
140,461,d1snv_R850,1
141,464,d1snv_R859,1
142,474,d1snv_R890,1
143,475,d1snv_R893,1
144,477,d1snv_R899,1
145,479,d1snv_R905,1
146,480,d1snv_R908,1
147,483,d1snv_R917,1
148,484,d1snv_R920,1
149,486,d1snv_R927,1
150,487,d1snv_R930,1
151,488,d1snv_R933,1
152,490,d1snv_R939,1
153,491,d1snv_R942,1
154,492,d1snv_R945,1
155,493,d1snv_R948,1
156,494,d1snv_R951,1
157,495,d1snv_R954,1
158,496,d1snv_R957,1
159,498,d1snv_R963,1
160,500,d1snv_R970,1
161,501,d1snv_R973,1
162,502,d1snv_R976,1
163,505,d1snv_R985,1
164,506,d1snv_R988,1
165,508,d1snv_R994,1
166,509,d1snv_R997,1
167,510,d1snv_R1000,1
168,511,d1snv_R1004,1
169,515,d1_red_peak_value,1
170,519,d1_all_peak_value,1
