stage,model,target,R2,RMSE,RPD,MAPE
classical,huber,chlorophyll,0.58912020512547,5.9624598977262515,1.5600646903544724,32.48970342219866
classical,huber,flavonol,-0.6964689504552048,0.7480395637566485,0.7677627587162789,17.292472168082305
classical,huber,nbi,0.031308808336529714,3.3114112107919946,1.0160318557693333,57.28987433789404
classical,lightgbm,chlorophyll,0.8297268712522269,3.838319625382641,2.4234102581204313,17.000050296533235
classical,lightgbm,flavonol,0.38570546231614034,0.45013205101930376,1.275885415842332,11.567249562084386
classical,lightgbm,nbi,0.7563392816569667,1.660784180984002,2.025849786046809,20.71807343085631
classical,pls,chlorophyll,0.7989191493288821,4.171127213179183,2.2300502187291302,20.73385648407506
classical,pls,flavonol,0.2960995635690674,0.48184485692842904,1.1919125229638645,11.944282761837927
classical,pls,nbi,0.6897036722869504,1.8741690312464936,1.795195215384957,28.8779022777778
classical,random_forest,chlorophyll,0.8432919116028289,3.6822543586816234,2.526121839510197,16.305120373379612
classical,random_forest,flavonol,0.36099905592358705,0.45909478602014486,1.2509767842876904,11.74427140522932
classical,random_forest,nbi,0.7402866727322528,1.7146187061451121,1.9622434222011924,20.793604481355757
classical,ridge,chlorophyll,0.7108581535185314,5.00176811296778,1.8597069964081285,25.231310408949614
classical,ridge,flavonol,-0.024320991941640058,0.5812589420267537,0.9880569184814227,14.096267020765355
classical,ridge,nbi,0.5067705536423499,2.362897798622911,1.4238869237921268,38.628274889707356
classical,stacking,chlorophyll,0.8406778775159836,3.712839024591184,2.5053128057771037,16.107644448436822
classical,stacking,flavonol,0.39796193933859836,0.44561888190538473,1.2888074146298563,11.508293239588188
classical,stacking,nbi,0.7474536386745829,1.6907951648299298,1.9898917075829152,20.820778644316675
