stage,model,target,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,mae,qwk
deep_learning,autoencoder,stress,0.8536585365853658,0.8399621212121212,0.8430555555555554,0.8399621212121212,0.8385709249911872,,
deep_learning,cnn1d,stress,0.7317073170731707,0.6903409090909091,0.8257575757575757,0.6903409090909091,0.7292324792324791,,
deep_learning,cnn_lstm,stress,0.6829268292682927,0.6415719696969697,0.6694444444444445,0.6415719696969697,0.6443326453388373,,
deep_learning,mlp,stress,0.8048780487804879,0.7859848484848485,0.7770833333333333,0.7859848484848485,0.7778897849462365,,
deep_learning,resnet1d,stress,0.7560975609756098,0.7286931818181819,0.837719298245614,0.7286931818181819,0.7596273291925465,,
deep_learning,rnn,stress,0.36585365853658536,0.31486742424242425,0.2536075036075036,0.31486742424242425,0.2791973791973792,,
deep_learning,transformer,stress,0.6097560975609756,0.587594696969697,0.6160714285714286,0.587594696969697,0.5861111111111111,,
ordinal,random_forest,flavonol_4cls,0.696078431372549,0.3756525929610745,,,0.3632833177639503,0.3137254901960784,0.501665731125456
ordinal,lightgbm,flavonol_4cls,0.6225490196078431,0.3359452597106496,,,0.3307802072902195,0.4264705882352941,0.3141534934994114
ordinal,ordinal_logistic,flavonol_4cls,0.6470588235294117,0.3801162050443856,,,0.3825190594483212,0.3774509803921568,0.411481193416177
ordinal,random_forest,flavonol_3cls,0.6910975609756097,0.5158792405851229,,,0.5061294168741592,0.313780487804878,0.5076023096223269
ordinal,lightgbm,flavonol_3cls,0.656829268292683,0.4925863678804855,,,0.4895905489206804,0.3529268292682926,0.4685483125873119
ordinal,ordinal_logistic,flavonol_3cls,0.656829268292683,0.5627513227513228,,,0.5605946036380819,0.3480487804878048,0.5015635075445672
