strategy,model,R2,RMSE,RPD,MAPE,R2_fold_mean,delta_OOF_vs_baseline,delta_FOLD_vs_baseline,n_features_ga,Accuracy,BalancedAcc,MacroF1,edges
residual_pls_lgbm,GA+PLS (kontrol),0.5506990183997426,0.38496415602992634,1.4918711524251103,9.891782253406848,0.5431216892753525,0.0,0.0,,,,,
residual_pls_lgbm,GA+PLS + LGBM(residual),0.5057063874025296,0.4037793548422886,1.4223533526696714,10.529881213947226,0.4972977307444596,-0.045,-0.0458,,,,,
stacking_ga,GA+pls (base),0.5506990183997426,0.38496415602992634,1.4918711524251103,9.891782253406848,0.5431216892753525,0.0,0.0,,,,,
stacking_ga,GA+svr (base),0.372390055483806,0.4549844130589895,1.2622782289121297,11.828446556192713,0.36468896578119514,-0.1783,-0.1784,,,,,
stacking_ga,GA+lgbm (base),0.2751913942490348,0.48894868352286336,1.174595491209398,12.906527598687445,0.2675346366413782,-0.2755,-0.2756,,,,,
stacking_ga,GA+ridge (base),0.5710909781361578,0.3761267326142525,1.5269239575367626,9.800404967937775,0.566536979849244,0.0204,0.0234,,,,,
stacking_ga,"Stacking (GA, meta=Ridge)",0.5781003451724888,0.37304068129305235,1.5395557318520865,9.628466817999144,0.5745698710070725,0.0274,0.0314,,,,,
boosting_ga,GA+XGBoost,0.3468769168506499,0.4641401381299047,1.237378265565959,12.114864943412597,0.33739649964109747,-0.2038,-0.2057,,,,,
preproc_ga_pls_v2,raw → freshGA → PLS,0.5635436838816354,0.37942155704057323,1.5136644411516975,9.564706871483548,0.5584033110129271,0.0128,0.0153,220.0,,,,
preproc_ga_pls_v2,SG-d1 → freshGA → PLS,0.5601849006626416,0.3808786929552646,1.5078735821176048,9.564616516970617,0.5530086362321998,0.0095,0.0099,219.0,,,,
preproc_ga_pls_v2,SG-d2 → freshGA → PLS,0.49418183137092775,0.4084593322197652,1.4060565490757935,10.17119605440211,0.48094100900478054,-0.0565,-0.0622,219.0,,,,
preproc_ga_pls_v2,SNV → freshGA → PLS,0.5612883720899102,0.3804005912404533,1.5097687341282215,9.480728089797443,0.559529743549496,0.0106,0.0164,227.0,,,,
preproc_ga_pls_v2,MSC → freshGA → PLS,0.5332316225126943,0.3923758987910229,1.463690611141751,10.107493456941757,0.529683100182268,-0.0175,-0.0134,224.0,,,,
preproc_ga_pls_v2,SNV+SG-d1 → freshGA → PLS,0.5497808458251552,0.38535730355042325,1.4903491222492893,9.736607178597586,0.5423617797340654,-0.0009,-0.0008,219.0,,,,
multiseed_ga_pls,GA-seed42 + PLS,0.5635436838816354,0.37942155704057323,1.5136644411516975,9.564706871483548,0.5584033110129271,0.0128,0.0153,220.0,,,,
multiseed_ga_pls,GA-seed7 + PLS,0.4343974397795842,0.43192395769413955,1.329671366609907,10.786484429637017,0.4184459132503309,-0.1163,-0.1247,208.0,,,,
multiseed_ga_pls,GA-seed123 + PLS,0.4793077169807297,0.4144214073029379,1.385828311419507,10.283078662072588,0.46882837257747917,-0.0714,-0.0743,193.0,,,,
multiseed_ga_pls,GA-intersection + PLS,0.46024489903565113,0.42193930990706313,1.3611363189299095,10.55140935513146,0.4516536846989247,-0.0905,-0.0915,46.0,,,,
multiseed_ga_pls,GA-union + PLS,0.4353131192211265,0.43157418550367715,1.330749007678618,10.897011979438783,0.4224598239984642,-0.1154,-0.1207,391.0,,,,
regression_to_ordinal,GA+PLS (regresyon),0.5506990183997426,0.38496415602992634,1.4918711524251103,9.891782253406848,0.5431216892753525,0.0,0.0,,,,,
regression_to_ordinal,GA+PLS → 3-sınıf (kvantil binning),,,,,,,,,0.6225490196078431,0.6225490196078431,0.6302798914958078,"<3.08 | [3.08,3.68) | >=3.68"
